Date,Target,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal
2024-01-24,0,-0.00360535,0.010027843,29.75282506,23.50390784,-22.81282425,-11.05901596
2024-01-25,1,0.000263216,0.010011839,29.89282227,24.72320581,-23.14059845,-13.47533246
2024-01-26,1,0.003321941,0.009982904,31.59427316,28.85638775,-22.47796692,-15.27585935
2024-01-29,1,0.008872889,0.009406671,31.23639788,36.63002242,-19.94049921,-16.20878732
2024-01-30,0,-0.000736017,0.00921357,31.33354841,39.68065736,-17.87198072,-16.541426
2024-01-31,0,-0.000688553,0.00787414,31.22283064,39.67875854,-16.18488292,-16.47011739
2024-02-01,1,0.018006012,0.008942536,32.9699707,53.63722145,-11.0593904,-15.38797199
2024-02-02,1,0.028250559,0.011027086,36.73141044,64.34906682,-1.106254396,-12.53162847
2024-02-05,0,-0.009219098,0.011205165,38.0135498,65.27179375,4.789863606,-9.067330055
2024-02-06,0,-0.005848136,0.011275559,35.63783482,76.95382378,8.149379242,-5.623988195
2024-02-07,1,0.012873893,0.011451594,37.36570522,79.28152661,13.35141012,-1.828908533
2024-02-08,1,0.004107155,0.011457861,36.00641741,77.58093305,18.13167387,2.163207948
2024-02-13,1,0.011127267,0.01150336,36.73571777,82.11595898,24.00916935,6.53240023
2024-02-14,0,-0.011089161,0.011889143,38.81070382,73.36780252,26.00949813,10.42781981
2024-02-15,0,-0.002529461,0.011535237,39.22427804,73.92825031,26.75222171,13.69270019
2024-02-16,1,0.01328649,0.009818621,40.17499651,76.59495182,29.81808782,16.91777772
2024-02-19,1,0.011822199,0.009943638,39.13711984,78.113883,34.39313291,20.41284875
2024-02-20,0,-0.008418843,0.010137845,38.99213518,71.87974208,35.79314912,23.48890883
2024-02-21,0,-0.001687026,0.010082652,38.79070173,71.35513192,36.12475142,26.01607735
2024-02-22,1,0.004122167,0.010071523,38.99783761,72.53221878,36.84717459,28.1822968
2024-02-23,1,0.001286553,0.009945644,37.56926618,69.03113121,37.26687761,29.99921296
2024-02-26,0,-0.007759484,0.010255159,35.07210868,55.73860569,35.52612085,31.10459454
2024-02-27,0,-0.008357213,0.010590188,33.82711356,56.13812389,32.00004274,31.28368418
2024-02-28,1,0.01032347,0.010638313,33.7457101,63.25752259,31.04576376,31.23610009
2024-02-29,0,-0.003750935,0.010714288,31.93355887,56.21966416,29.15218011,30.8193161
2024-03-04,1,0.012003955,0.010871962,33.39855957,59.47523641,29.88190465,30.63183381
