Date,Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2022-09-27,1,487939509,8.00556E+12,-0.215525432,-2.46297E+11,3.20286E+11,6396514442,-65153540746
2022-09-28,0,596136346,9.20835E+12,0.221742316,-1.45952E+11,-45591770536,4015022081,-82915470008
2022-09-29,1,508500874,7.24071E+12,-0.147005752,2.20867E+11,-13358973948,20431127680,-41272220113
2022-09-30,0,950269674,7.92375E+12,0.868767042,1.67918E+11,15907272289,58951553784,2683118913
2022-10-04,1,421003102,7.50028E+12,-0.556964603,2.17192E+11,-56951281046,-8252332718,-17019237216
2022-10-05,1,855790158,9.50908E+12,1.032740742,77575173070,-6.10893E+11,10495225764,54214933580
2022-10-06,1,643015745,6.85007E+12,-0.248629189,2.51015E+11,-47640043922,-2520688860,-9589379382
2022-10-07,0,428682906,7.83144E+12,-0.333324402,1.00121E+11,-1.56318E+11,-13466129722,81744585357
2022-10-11,0,859508909,7.86786E+12,1.004999259,1.96205E+11,-2.94645E+11,-38435051083,1.3889E+11
2022-10-12,1,658347571,7.40913E+12,-0.234042179,2.35037E+11,-78445384841,30528515496,-27826029404
2022-10-13,0,792452498,7.16978E+12,0.203699281,2.00865E+11,-42999560110,-65748346772,-1.46394E+11
2022-10-14,1,513523921,7.16182E+12,-0.351981447,2.65677E+11,2.21716E+11,36761095986,64372170854
2022-10-17,1,498780636,6.52681E+12,-0.028710026,2.65799E+11,-2.4649E+11,-12306822201,-30969823271
2022-10-18,1,580891633,7.24992E+12,0.164623466,77437094270,1.24816E+11,20154839921,-30848771267
2022-10-19,0,895161384,7.73888E+12,0.5410127,1.47718E+11,-1.11104E+11,48558482748,-29396127360
2022-10-20,0,1108102611,8.32503E+12,0.237880265,-3722025765,-2.42187E+11,-42665069097,-45441048464
2022-10-21,0,637486476,6.22817E+12,-0.424704473,29289233569,1.84787E+11,-48342902474,-79413742682
2022-10-24,1,444820460,6.84699E+12,-0.302227613,1.51159E+11,2.83724E+11,26247307548,-45862298876
2022-10-25,0,456770059,7.03002E+12,0.02686387,73910629649,1.17955E+11,13627058651,-49748089838
2022-10-26,1,563441589,7.49274E+12,0.233534418,6.02038E+11,-1.16792E+11,32029283231,-47679334735
2022-10-27,1,587872005,8.43534E+12,0.04335927,3.81653E+11,5.5007E+11,18689924801,-52390143662
2022-10-28,0,427245332,8.28937E+12,-0.273234091,-1.90401E+11,4.26048E+11,-52831020328,-58485762345
2022-10-31,1,401399527,8.6793E+12,-0.060494061,2.32074E+11,-10523960827,5758912996,-44487382976
2022-11-01,1,597205901,9.47662E+12,0.48780918,4.93949E+11,1.35394E+11,32168365659,5347844044
2022-11-02,1,450634597,9.5681E+12,-0.245428426,5.25199E+11,-3.54069E+11,24271664845,-23486622799
2022-11-03,0,550428338,9.27325E+12,0.221451574,1.71639E+11,-6.85574E+11,31813671546,81729880760
2022-11-04,1,436430311,7.92734E+12,-0.207107845,41368155723,89162935333,29909706089,-35223942761
2022-11-07,1,392508611,8.05988E+12,-0.100638519,1.10025E+11,2.53986E+11,50839790040,-56973270306
2022-11-08,1,500087936,8.60145E+12,0.274081439,2.82366E+11,4.90165E+11,-4490278547,-10201225466
2022-11-09,1,680722009,9.34267E+12,0.36120462,4.17226E+11,3.98511E+11,-100751992,-10603973815
2022-11-10,0,899127446,9.34443E+12,0.320843801,-1.09777E+11,4442230752,-28008688333,-55406544953
2022-11-11,1,758247863,1.39176E+13,-0.156684777,7.05275E+11,8.42837E+11,51688236454,6364521990
2022-11-14,0,731166034,1.12164E+13,-0.035716327,1.42922E+11,16793691185,-37629812459,-65715894047
2022-11-15,1,617401010,9.30885E+12,-0.155593967,-2.35017E+11,2.25899E+11,-1.05624E+11,-76849990293
2022-11-16,0,657833955,9.88043E+12,0.065488952,91512129351,69714186507,-85304371300,-1.22576E+11
2022-11-17,0,914519167,8.55699E+12,0.390197572,-3.843E+11,22703750736,-13243304113,-49874298155
2022-11-18,1,589585960,7.44444E+12,-0.355304972,1.97646E+11,-6658095159,46905702251,-57105697228
2022-11-21,0,544528841,7.04943E+12,-0.076421628,-1.65338E+11,2.80078E+11,-18371430220,-54439998407
2022-11-22,0,539169320,7.25368E+12,-0.009842492,15650123452,1.02794E+11,17027850939,-61189393296
2022-11-23,1,474789345,7.47711E+12,-0.119405858,89609886885,81826917572,-2978244505,-71925900995
2022-11-24,1,481184882,6.84956E+12,0.013470262,1.26982E+11,-11524898330,34574929378,11433127816
2022-11-25,0,438394239,6.34758E+12,-0.088927655,3.12653E+11,-3866000823,7449811771,-5032472414
2022-11-28,0,350496873,6.4625E+12,-0.200498451,-1.25156E+11,-1.18995E+11,-38458238751,-67050002625
2022-11-29,1,550174638,6.53335E+12,0.569699134,62319678791,1.86132E+11,25529936285,61976579010
2022-11-30,1,594127344,1.24694E+13,0.079888644,1.14464E+12,-5.86221E+11,29643134217,-2248369928
2022-12-01,1,491383400,8.8501E+12,-0.172932529,33652032730,2.52225E+11,4081983114,-18757375787
2022-12-02,0,468847334,7.32839E+12,-0.045862489,-4.06017E+11,-3.32597E+11,-32513707056,-41186287326
2022-12-05,0,385586134,7.71741E+12,-0.177587018,-2.93617E+11,1.13227E+11,-28897312057,-2311265738
2022-12-06,0,368635781,6.47702E+12,-0.043959965,-98977502602,-1.11572E+11,-39288412006,-54027333879
2022-12-07,0,332586789,6.08066E+12,-0.097790268,-1.98229E+11,1.30416E+11,-12346577935,-25820225084
2022-12-08,0,351939439,7.553E+12,0.05818827,-4.66524E+11,2.07809E+11,61786308975,-70779529245
2022-12-09,1,315674287,7.2202E+12,-0.103043728,1.0028E+11,3.89532E+11,-11711343096,22274691742
2022-12-12,0,499224684,5.82226E+12,0.581455014,17771225883,24393840101,2755821276,-13375087603
2022-12-13,0,447565388,6.65936E+12,-0.10347905,-1.12057E+11,35771117295,18274797123,-4857178445
2022-12-14,1,409799402,5.72411E+12,-0.084380935,2.3339E+11,1.99204E+11,8907580388,2849663819
