Date,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2022-03-17,546079006,11900904843703,-0.25840108244522597,463512579367,196816749376,30266992262,-30377624559
2022-03-18,644017432,11442603703912,0.17934845493767249,-103084892427,-14116755494,-22578706555,52889687520
2022-03-21,502401733,8693849794167,-0.2198942015594385,-491534894692,-182928566934,-20744308131,-59103540625
2022-03-22,489441786,9367506018394,-0.025795983868550865,219517391733,286692657816,16898216819,46538185790
2022-03-23,883375917,11838671696715,0.8048641171802198,57070890859,232957851846,-31053440149,55324695611
2022-03-24,960897734,13177858819418,0.08775631699726305,1021864931280,-180997915324,11682574885,-25887459164
2022-03-25,602771056,10824995141702,-0.3727000963039008,-554858526687,-114144174663,-27391188381,4344033625
2022-03-28,768042550,9801744222798,0.27418618122898053,-264305353301,138182395834,-22403068883,3622736751
2022-03-29,732159279,10020299985146,-0.04672042063294535,-283226870969,425428489842,-44492193300,-34173799635
2022-03-30,840134353,11099514114188,0.14747484201453376,-9345471822,225176255496,-62164841449,-28467342413
2022-03-31,1030288741,9729367389375,0.22633807000152517,-173867006193,163084812826,-3976002544,6568850207
2022-04-01,1305564027,10689584093613,0.26718265962298826,-72594005014,-609557628380,-24363171288,-114608329473
2022-04-04,1022970584,9744917655977,-0.21645314757129108,23158344197,21387342238,29312275520,-22586713153
2022-04-05,1605993694,9933180821147,0.569931451714158,11939645240,-191823533618,-22741924616,-12253204682
2022-04-06,1321644983,11014544531112,-0.17705468711510397,-589421142028,-442441268988,-8481321855,-96173913723
2022-04-07,999275955,12291042906435,-0.24391499392541482,-769583081966,-382997421879,-59294838223,-18955363726
2022-04-08,948355122,10296234348228,-0.050957728688668436,-458770365621,-3067762383,6024976984,18636822200
2022-04-11,742601512,8831630373027,-0.21695840010447054,-135729827164,-41938584939,32476703632,15031592938
2022-04-12,870969540,9853720362264,0.1728625998272948,-468298119861,-92536245916,-4940087640,-50276354221
2022-04-13,733240925,9645445517007,-0.15813252780344078,-63259789179,326598915824,63421809617,151034643309
2022-04-14,665351048,11419812319490,-0.0925887722374471,-254943274782,86408514458,77558545291,-104587902957
2022-04-15,693717683,9570267540535,0.04263408780262412,-321038895631,-503204524886,42198386535,9349143213
2022-04-18,1024914928,9050332417145,0.4774236740913522,-96162606678,-52159447197,36772639383,41543679644
2022-04-19,1257385350,9779975371254,0.2268192370401303,31640085566,150318191845,24210659811,127616201946
2022-04-20,1736282680,12283912938601,0.38086759162574935,94290153124,-252710464996,43688028366,52097206739
2022-04-21,1002973383,11482591241019,-0.4223444174424409,-57715515912,510369492186,14471454289,75904767497
2022-04-22,1239909929,12120588065484,0.2362341314495282,-156512116607,-597163274665,163067146,-63253995454
2022-04-25,1018005341,11698115888010,-0.1789683127862105,-709878216476,-237389341921,-34074930524,-7669727215
2022-04-26,889941868,10807853191333,-0.1257984293817177,-245268167021,140367609713,31248811925,135385930378
2022-04-27,1072367495,12558710512739,0.2049860036476001,-681077661566,-99438283026,-157841836820,97485725465
2022-04-28,899168711,12463396003912,-0.1615106619769373,-37759147510,-53021344877,122258213424,115356603569
2022-04-29,975253172,12664752150376,0.08461644635675047,14302129054,206089251877,79552561995,116589483205
2022-05-02,873722720,9075648672047,-0.10410676418697151,-68119155591,-95990371425,35822074212,-5161221983
2022-05-03,883402977,9199338259039,0.011079323884355397,115033804975,-176100100045,15882503585,-45937944071
2022-05-04,1181019910,9903933505101,0.3368982681162054,30611358580,64416224156,-29875135904,-58398123890
2022-05-06,1333935834,10595418478532,0.12947785444192883,-486320025981,-153398176099,-34421446420,11477544006
2022-05-10,841463317,10842463041698,-0.05734526287592501,-317712396806,95595950994,3521954987,663569341
2022-05-11,679509759,8608259453968,-0.19246656952010666,-289980981821,-129382417854,25660467127,666345710
2022-05-12,900330795,12167915258889,0.3249711031743989,-282071993178,-41551434071,32749485050,-102547161335
2022-05-13,788539195,10342060894273,-0.1241672512157046,68441056844,628552831291,41361508960,125622094098
2022-05-16,780198956,8528536948653,-0.01057682237342683,1773840081,-104803349360,-20564999388,14083306124
2022-05-17,873519449,9658877230199,0.1196111482620339,-52423752269,475989183573,-3381491417,64122542669
2022-05-18,870268210,10047167987534,-0.003721999554471278,297282181606,-317932456648,21969619339,-277833480350
2022-05-19,677595162,9883989670611,-0.22139502027771418,-90912806727,-354620109814,-31408995769,32551119920
2022-05-20,755652901,9634339029530,0.11519819410989252,196631339178,741776618550,17237605561,92764970980
2022-05-23,644204838,7815203608813,-0.1474857872609424,-30385454407,344672244071,-39269196545,-58483783111
2022-05-24,851235794,8703525826182,0.32137441973076264,-325411915774,-168172875485,-13824499693,-36501837642
2022-05-25,712611488,8353418910949,-0.16285065428063994,-165483309701,550995729373,-6668480093,36048417829
2022-05-26,595849280,8613523897667,-0.16385114465064587,37674326836,-33188699677,-31192976555,-79709902515
2022-05-27,590813776,8028158869516,-0.008450969345805026,275985972849,498058890065,15844165435,27692204110
2022-05-30,469797632,7473951584916,-0.20482959083878916,354086528028,315361145945,55589726873,20914943865
2022-05-31,671679086,13970895517957,0.42972003315674434,1057344614578,-572452758116,8223461867,-5244614539
2022-06-02,525259148,7860485371460,-0.21799091419082828,-90906228346,-669116072115,-24754697807,3008796346
2022-06-03,562469813,7566757988438,0.07084248821117156,-8818167402,213500738539,5650424951,64349511742
2022-06-07,524710380,8948923639761,-0.06713148355216714,-208898549689,-686304371143,-22724924942,-38812499655
2022-06-08,576389702,7964335124403,0.09849113714884017,-124454248340,10901849654,1844518710,27990548527
2022-06-09,814882844,10857975089630,0.41377065060749474,-937286496836,632435852523,43615125400,-106421165474
2022-06-10,724089803,8285964062392,-0.11141852067264779,-851670598062,-292623268513,-20851861952,97591011429
