Target,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1
1,-0.04,0.0219999999999993,-0.03,0.0250000899999999
0,0.0200000000000004,-0.0510000000000001,-0.05,-0.0540003699999999
0,0.0700000000000002,0.0340000000000006,0.05,-0.02199984
1,-0.0900000000000007,0.0659999999999998,0.0,0.0450000699999999
1,-0.0499999999999998,-0.0309999999999996,0.03,-0.0809998399999999
0,0.0300000000000002,0.016,0.01,0.01599931
1,0.0300000000000002,-0.0040000000000004,-0.03,0.0170001999999999
1,-0.1400000000000005,-0.0140000000000002,0.03,-0.02299976
1,0.0200000000000004,-0.0919999999999996,-0.12,-0.02799988
1,-0.1600000000000001,-0.0300000000000002,0.06,-0.0329999899999999
0,0.0999999999999996,-0.072,0.0,0.0229999999999999
0,-0.08,0.0100000000000002,-0.0099999999999999,-0.0110003999999999
1,0.0100000000000006,-0.0190000000000001,-0.1,-0.01399994
0,0.1199999999999992,-0.0209999999999999,0.01,-0.0559997499999999
0,0.0300000000000002,0.0150000000000001,-0.04,0.0090000599999999
1,0.0,0.0149999999999996,0.0199999999999999,0.0209999099999999
1,-0.2400000000000002,-0.0199999999999995,0.05,-0.0050001099999999
1,0.1200000000000001,-0.1129999999999999,-0.03,-0.05199981
0,-0.0899999999999998,-0.0430000000000001,0.0099999999999999,0.02699995
1,0.0499999999999998,-0.02,-0.06,0.0169999599999999
1,-0.0199999999999995,-0.0140000000000002,0.0,-0.0269999499999999
1,-0.0200000000000004,-0.0229999999999996,0.01,-0.0060000399999999
1,0.0200000000000004,0.0219999999999997,-0.01,0.0140001749999999
0,0.0,-0.0219999999999997,0.0,-0.0280003549999999
0,0.0499999999999998,0.0329999999999999,0.0,0.0340001599999999
1,-0.0700000000000002,0.012,-0.0099999999999999,-0.0239999299999999
0,-0.1099999999999994,-0.0409999999999999,0.06,0.0
1,-0.0899999999999998,-0.0940000000000003,0.0199999999999999,0.0090000599999999
0,0.08,0.0290000000000003,0.02,0.02899981
1,-0.1700000000000008,0.004,0.02,-0.00399995
0,0.0900000000000007,-0.056,-0.03,-0.0169999599999999
1,-0.0700000000000002,-0.0470000000000001,-0.03,0.0
0,0.0,-0.0209999999999999,-0.06,-0.0250000999999999
1,-0.0200000000000004,0.048,0.0399999999999999,-0.00499987
1,0.1400000000000005,-0.0500000000000002,-0.0499999999999999,0.007999894
1,-0.0300000000000002,0.0190000000000001,0.03,0.0130000119999999
0,0.0,-0.0339999999999998,-0.03,-0.0050001159999999
1,-0.2400000000000002,0.0189999999999996,0.0799999999999999,-0.0209996699999999
1,-0.0899999999999998,-0.2069999999999998,-0.03,0.01399994
1,0.04,0.0230000000000001,-0.0499999999999999,0.0030000199999999
1,0.0200000000000004,-0.004,0.0199999999999999,-0.0180001249999999
1,0.0,0.0189999999999996,-0.0199999999999999,-0.02699995
0,-0.0900000000000007,-0.0639999999999996,0.0199999999999999,0.0159997949999999
0,0.0,0.004,0.03,0.01300001
1,-0.0199999999999995,-0.0020000000000002,0.03,0.0060002799999999
1,0.0099999999999997,-0.0129999999999999,-0.0199999999999999,-0.0170001979999999
1,-0.0799999999999996,-0.0009999999999998,-0.0199999999999999,-0.009999992
1,0.0499999999999993,-0.0660000000000002,0.0,-0.010999916
0,0.0700000000000002,0.0860000000000003,0.0399999999999999,0.0369999409999999
0,-0.0199999999999995,0.0379999999999998,-0.0199999999999999,-0.0060000419999999
0,0.0699999999999994,-0.0510000000000001,0.01,0.001000167
0,0.0300000000000002,0.056,0.03,0.0
0,-0.0599999999999996,0.0140000000000002,0.0199999999999999,-0.01399994
0,-0.0200000000000004,-0.0420000000000002,0.03,0.02099967
0,0.0099999999999997,0.0140000000000002,0.01,0.0090000599999999
0,-0.08,-0.0420000000000002,0.0199999999999999,0.00300002
1,-0.0999999999999996,-0.0229999999999996,0.08,0.0220000799999999
0,0.0,-0.0130000000000003,0.0,0.0
0,0.0999999999999996,0.044,0.01,-0.0149998699999999
