Close,Open,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,S&P500,USD_KRW,Dollar_Index,VIX,US_GDP,US_M2,US_Interest_Rate_3Y,US_UNRATE,KR_GDP,KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,US_Spread_10Y_3Y,KR_Spread_10Y_3Y
3215.909912109375,3251.1298828125,-0.0051938130095907,-0.0052073477412973,0.0059689134743894,30.599993024553573,37.40907101174096,-0.7332914287380845,7.931591413834877,990326915,14864747567296,0.0108778855087632,-498545092711,-177327712908,12644971480,-100749921293,4358.68994140625,1147.47998046875,92.75,17.90999984741211,23982.379,20633.3,0.39,5.4,524124400000000.0,1.878,1.383,0.91,0.495
3250.2099609375,3235.169921875,0.010665736841374,0.0106092590997592,0.006454611687847,32.05357142857143,44.67997396576877,-1.0216490595116738,6.140943319165567,712983404,13039249952509,-0.2800524824673679,59859468295,830727811494,671985915,6069902594,4367.47998046875,1148.68994140625,92.81999969482422,17.690000534057617,23982.379,20633.3,0.37,5.4,524124400000000.0,1.921,1.397,0.9,0.52400005
3254.419921875,3253.43994140625,0.0012952889161306,0.0012944507531399,0.0063351945861262,32.108572823660715,43.30027408812988,-0.900090216134231,4.732736612105607,805048259,13209383405119,0.1291262243742212,111649746566,386738797311,-34439268621,-64912956743,4411.7900390625,1149.9100341796875,92.91000366210938,17.200000762939453,23982.379,20633.3,0.38,5.4,524124400000000.0,1.888,1.393,0.92,0.495
3224.949951171875,3265.989990234375,-0.0090553682101804,-0.0090966172626214,0.0066027720967116,33.590000697544646,36.92662173995691,-3.145475221530887,3.1570942453783086,826066626,12212490543815,0.0261082075080918,-377963894447,-70011365281,-111263276310,-69131916368,4422.2998046875,1151.1199951171875,92.6500015258789,17.579999923706055,23982.379,20633.3,0.38,5.4,524124400000000.0,1.863,1.369,0.91,0.49400008
3232.530029296875,3244.429931640625,0.0023504482983511,0.0023476903155681,0.0065955543964147,33.61500767299107,41.03911619860676,-4.264155529502659,1.6728442904021152,991938990,12348469240739,0.2007978034449729,46132578069,233409101232,7194879810,25434744438,4401.4599609375,1151.760009765625,92.43000030517578,19.36000061035156,23982.379,20633.3,0.37,5.4,524124400000000.0,1.868,1.38,0.88,0.48800004
3236.860107421875,3226.06005859375,0.001339532219579,0.0013386358466863,0.006553908789066,32.830008370535715,47.0301431441855,-4.746600757634496,0.388955280794793,868602620,11979296757213,-0.1243386652237553,-422234442765,409241365434,-18646221715,-67389286855,4400.64013671875,1153.56005859375,92.31999969482422,18.309999465942383,23982.379,20633.3,0.38,5.4,524124400000000.0,1.862,1.419,0.88,0.44299996
3242.64990234375,3248.489990234375,0.0017887071821853,0.0017871093505784,0.0065253753166211,29.6785888671875,55.20218760187539,-4.6086286120307705,-0.6105614977703198,694823189,10491306617501,-0.2000678181237813,-229157290461,235955856767,49331236276,-44195690300,4419.14990234375,1149.4100341796875,91.86000061035156,17.700000762939453,23982.379,20633.3,0.37,5.4,524124400000000.0,1.889,1.431,0.91,0.45800006
3202.320068359375,3234.3701171875,-0.0124373075105101,-0.0125152981567089,0.0070446478259759,30.166434151785715,41.142009596752224,-7.665205526769569,-2.02149030357017,687861015,12808243381658,-0.0100200656947274,-718353137727,-288008520187,-86499495235,-171324280645,4395.259765625,1142.1199951171875,92.16999816894533,18.239999771118164,23982.379,20633.3,0.35,5.4,524124400000000.0,1.874,1.417,0.89,0.4569999
3223.0400390625,3218.419921875,0.0064702997391952,0.0064494572064842,0.0071791579827678,30.281441824776785,40.13551215623754,-8.319731594458062,-3.2811385617477486,561003439,10237986168170,-0.1844232675404638,-145578198234,776000584489,-68769547735,-65728416080,4387.16015625,1150.9300537109375,92.0500030517578,19.459999084472656,23982.379,20840.7,0.33,5.1,524124400000000.0,1.907,1.435,0.8699999999999999,0.472
3237.139892578125,3221.570068359375,0.0043747062849788,0.0043651650739818,0.007206109745383,30.496442522321427,44.52183445583759,-7.612950522660412,-4.147500953930281,653512911,12491381488029,0.1649000087502137,666721793168,223421985222,-83707110855,-136518112384,4423.14990234375,1149.56005859375,92.08000183105467,18.040000915527344,23982.379,20840.7,0.33,5.1,524124400000000.0,1.89,1.442,0.8599999999999999,0.44799995
