Date,Target,US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1,VIX,S&P500__logdiff1,Nikkei225__logdiff1,TaiwanWeighted__logdiff1,USD_KRW__logdiff1,Dollar_Index__logdiff1,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1,Volume_ROC,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,Net_Purchase_Financial_Investment,Net_Purchase_Foreigner,Volume,Transaction_Value__logdiff1
2023-08-01,1,0.01,-0.01,0.033,0.046,0.02,-0.013000015,13.32999992,0.009829376,0.012527972,-0.008566082,-0.008989713,0.002358935,0.009258021,66.24940711,-0.024887267,-0.045920546,1.539066034,-0.097412767,-5869470172,-37728782982,-83756810865,-2.92E+11,454242638,-0.067718174
2023-08-02,0,0.08,0.06,-0.034,-0.034,0.02,0,13.63000011,0.001467636,0.009133293,0.003925662,0.00434459,0.004310376,0.013016134,69.40701445,0.035209325,0.045683717,3.83209562,0.086739127,67499779327,-40045355102,2.66E+11,1.98E+11,493643248,0.012658397
2023-08-03,0,0.03,-0.03,0.066,0.03,0.06,0.03600002,13.93000031,-0.002668645,-0.023235832,-0.018714735,0.008663927,0.002830723,-0.019154447,54.63936679,0.061533195,0.11420147,-1.2028551,0.427496162,-98655960387,-56359337376,-4.35E+11,-70146532016,704673842,0.006269613
2023-08-04,0,0.12,0.04,0.068,0.037,0.08,0.03100013,16.09000015,-0.0139362,-0.016909167,0,0.004890814,-0.000487451,-0.004243735,45.34402791,-0.006286171,-0.019356805,-1.98131517,0.120257665,-2610524450,-1.57E+11,-4.91E+11,-1.51E+11,789416273,-0.071227509
2023-08-07,0,-0.15,-0.13,0.015,0.024,-0.02,-0.00900006,15.92000008,-0.002551225,0.001040238,-0.002967081,0.000794846,-0.005084136,-0.000994527,46.61541459,-0.00612965,-0.048928529,-1.891357036,-0.181990312,29789231937,-99918483580,-1.48E+11,-2.45E+11,645750159,-0.30346594
2023-08-08,0,0.04,-0.01,-0.062,-0.049,0.05,-0.01300001,17.10000038,-0.005314169,0.001918174,0.009002528,0.005116497,0.00029408,-0.008523268,44.61860989,0.000934221,0.02601119,-3.354898118,-0.219402809,-27169783821,-1.11E+11,-1.69E+11,2.81E+11,504070760,0.078643127
2023-08-09,1,-0.07,-0.08,-0.074,-0.042,0.01,-0.032000065,15.77000046,0.008983619,0.003797776,-0.007022108,0.003600395,0.004692507,-0.002611208,43.3122464,0.019858791,-0.077817197,-3.238006945,0.266525977,-25243400368,-1.27E+11,-2.73E+11,-1.42E+11,638418712,0.041158072
2023-08-10,0,-0.02,0.05,0.034,0.025,-0.07,0.009000065,15.98999977,-0.004227205,-0.005356304,-0.000363332,0.006797752,-0.000390215,0.012025453,50.87552125,0.027184902,0.039639264,-0.088547168,-0.267680093,-64682010361,-26623506531,-1.59E+11,3.66E+11,467526732,-0.185552577
2023-08-11,0,0.09,0.06,0.012,0.015,0.03,-0.00300002,15.96000004,-0.007063619,0.008328085,-0.014101754,-0.002303934,0.000292656,-0.001367497,48.49982625,-0.051154529,-0.010918085,-0.388119365,0.215235558,-47709033284,-57959444574,8214190140,-2.33E+11,568155109,0.09265883
2023-08-14,0,0.07,0.09,0.038,0.011,-0.02,0.02699995,15.85000038,0.000250682,0,-0.002012834,0.003563829,0.003116478,-0.00396704,42.96340888,-0.03087781,-0.070265724,-1.156066954,0.188742198,52357085949,-61792240669,9618551605,-1.91E+11,675389953,-0.073427469
2023-08-16,0,0.03,0.08,0.065,0.049,-0.05,0.01600003,14.84000015,-0.001070265,-0.012822658,-0.012583309,0.008519904,0.003397626,-0.007899839,38.17306168,0.013220746,0.016232018,-2.549448559,-0.075530152,-2502191745,-34198056616,-2.65E+11,-1.20E+11,624377647,-0.048790164
2023-08-17,0,0.09,0.04,-0.022,-0.035,0.05,0.01300025,14.81999969,0.005734005,-0.009183986,0.003234986,0.006843211,0.002226377,-0.017749955,38.01808122,-0.018426733,0.089552624,-5.59364071,0.09730965,-1.02E+11,18237382266,-1.76E+11,-1898044111,685135617,0.182321557
2023-08-18,0,0.02,-0.01,0.109,0.076,0.03,0.03299975,16.78000069,-0.019202221,-0.004442792,0.004239907,0.003422708,0.000193408,-0.002295039,34.60920172,0.027481039,-0.001001477,-4.768701245,0.072974059,34867160839,-21794190917,-1.35E+11,-1229151556,735132744,-0.114662908
2023-08-21,1,-0.04,-0.04,-0.062,-0.059,0,-0.00300002,17.88999939,-0.007742811,-0.005556426,-0.008228554,-0.003168795,-0.000580264,-0.006110301,31.69606078,0.015294333,0.005282308,-4.8306822,-0.241246377,-6884108879,-29293162299,-1.86E+11,-1.08E+11,557784633,0.009302393
2023-08-22,1,0.08,0.07,0.059,0.066,0.01,-0.00699997,17.29999924,-0.000148718,0.003646066,1.10E-05,6.73E-05,-0.000483726,0.001715457,26.52483491,-0.024592396,-0.005584562,-3.25665923,-0.283847766,13796593680,-23363288732,36200932204,-34008655799,399458711,-0.237129793
2023-08-23,0,0,0.05,0.013,0.007,-0.05,0.00600005,17.12999916,0.006855635,0.009178857,0.003419911,0.000425506,0.002223364,0.00276242,17.95081001,-0.024712008,-0.019843876,-1.77574769,0.181119745,33334206,-28011446799,-13252495253,-14806143234,471808571,0.084367039
2023-08-24,1,-0.15,-0.11,-0.066,-0.031,-0.04,-0.03499985,16.96999931,-0.002781331,0.004808405,0.008438219,-3.74E-05,-0.001933086,-0.004078676,21.65231611,-0.089601244,-0.008568898,-1.96573181,0.159728198,-63778763073,-51835317928,40541331832,20622541049,547169704,-0.077349466
2023-08-25,0,0.04,0.05,-0.042,-0.012,-0.01,-0.03000021,15.97999954,0.010984331,0.008614736,0.011633218,-0.008929803,0.00598056,0.012761935,34.38640028,-0.000522466,-0.004870818,1.29174714,-0.193778156,28619640312,47429944502,1.22E+11,1.11E+11,441140168,0.16310151
2023-08-28,1,0.02,0.03,0.057,0.03,-0.01,0.02699995,17.20000076,-0.013549354,-0.020746048,-0.017400003,-0.000874046,0.000961246,-0.00733272,32.03023069,0.052627046,0.000812701,-0.21685531,0.308844431,-19674114025,28197277830,-1.80E+11,-1.92E+11,577383852,-0.196279909
2023-08-29,1,-0.05,-0.03,-0.063,-0.03,-0.02,-0.032999994,15.68000031,0.006695501,0.01710888,0.001678023,-0.00227151,-0.000192219,0.009588135,42.06247526,-0.005636384,0.036067892,2.0187099,-0.16245048,80218616141,25465344457,1.67E+11,-13515475702,483587568,-0.009685306
2023-08-30,1,-0.08,-0.13,-0.028,-0.019,0.05,-0.008999826,15.07999992,0.006245079,0.001769664,0.006904982,-0.00059706,-0.004913015,0.003434359,45.39622591,-0.047887995,-0.028915786,2.50915162,-0.08730935,8275556226,21964499226,-5316486785,-1.61E+11,441365852,0.007272759
2023-08-31,0,0,0.01,0.006,-0.008,-0.01,0.0139997,14.44999981,0.014404069,0.003298935,0.005768457,-0.001323807,-0.003773401,0.003543671,39.78591983,-0.021504592,-0.067207514,2.88954054,-0.175280554,-11821751819,1330609779,2.23E+11,-16495437008,364003001,-0.063572804
2023-09-01,1,-0.03,-0.03,-0.029,-0.021,0,-0.00799966,13.88000011,0.003825854,0.008802723,-0.005115421,0.001482609,0.004449171,-0.001934524,39.53025316,0.01324988,-0.132307767,2.0370292,0.299903582,-51354930376,-29397802841,3.01E+11,-2.16E+11,473168805,0.374532561
2023-09-04,1,0.09,0.03,-0.043,-0.022,0.06,-0.020999905,13.56999969,-0.001598213,0.00279441,0.000626794,0.001216153,0.005965525,0.002906241,43.54587976,-0.024204819,0.002218063,2.33426068,0.042687751,-32221966497,-90160555822,-1.19E+11,3.69E+11,493367317,-0.122217633
2023-09-05,0,0,0,0.078,0.049,0,0.028999805,13.09000015,0.001797513,0.006963052,0.008658741,-0.005435125,0,0.008096018,53.19803711,-0.017654667,0.035445542,3.609490655,-0.306657526,2769282705,-1.02E+11,25012921633,4.13E+11,342072516,-0.139262067
