class_weight,C,penalty,threshold,validation_rows,accuracy,balanced_accuracy,precision,recall,f1,buy_and_hold_cumulative_return,model_strategy_cumulative_return,trade_rate
none,10.0,l1,0.6,118,0.3305084745762712,0.45705128205128204,0.45454545454545453,0.0641025641025641,0.11235955056179775,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,10.0,l2,0.6,118,0.3305084745762712,0.45705128205128204,0.45454545454545453,0.0641025641025641,0.11235955056179775,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,1.0,l1,0.5,118,0.4830508474576271,0.4567307692307692,0.6268656716417911,0.5384615384615384,0.5793103448275863,0.46995362547926267,0.07654703350375835,0.4406779661016949
none,0.1,l2,0.5,118,0.4745762711864407,0.4564102564102564,0.625,0.5128205128205128,0.5633802816901409,0.46995362547926267,0.1359678297319038,0.4576271186440678
none,1.0,l2,0.5,118,0.4745762711864407,0.4564102564102564,0.625,0.5128205128205128,0.5633802816901409,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,10.0,l1,0.5,118,0.4745762711864407,0.4564102564102564,0.625,0.5128205128205128,0.5633802816901409,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,10.0,l2,0.5,118,0.4745762711864407,0.4564102564102564,0.625,0.5128205128205128,0.5633802816901409,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,1.0,l2,0.57,118,0.3559322033898305,0.4519230769230769,0.5454545454545454,0.15384615384615385,0.24,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,10.0,l1,0.57,118,0.3559322033898305,0.4519230769230769,0.5454545454545454,0.15384615384615385,0.24,0.46995362547926267,0.07319768342589317,0.4322033898305085
balanced,10.0,l1,0.55,118,0.3559322033898305,0.4519230769230769,0.5454545454545454,0.15384615384615385,0.24,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l2,0.55,118,0.3559322033898305,0.4519230769230769,0.5454545454545454,0.15384615384615385,0.24,0.46995362547926267,0.09600568658244946,0.3220338983050847
none,0.1,l2,0.57,118,0.3474576271186441,0.4516025641025641,0.5263157894736842,0.1282051282051282,0.20618556701030927,0.46995362547926267,0.1359678297319038,0.4576271186440678
none,1.0,l1,0.57,118,0.3474576271186441,0.4455128205128205,0.5238095238095238,0.14102564102564102,0.2222222222222222,0.46995362547926267,0.07654703350375835,0.4406779661016949
none,0.01,l2,0.55,118,0.3220338983050847,0.444551282051282,0.4166666666666667,0.0641025641025641,0.1111111111111111,0.46995362547926267,0.17132026238421671,0.3898305084745763
none,1.0,l1,0.52,118,0.423728813559322,0.4362179487179487,0.5961538461538461,0.3974358974358974,0.47692307692307695,0.46995362547926267,0.07654703350375835,0.4406779661016949
none,0.1,l2,0.52,118,0.423728813559322,0.43012820512820515,0.5925925925925926,0.41025641025641024,0.48484848484848486,0.46995362547926267,0.1359678297319038,0.4576271186440678
none,1.0,l2,0.52,118,0.4152542372881356,0.42980769230769234,0.5882352941176471,0.38461538461538464,0.46511627906976744,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,10.0,l1,0.52,118,0.4152542372881356,0.42980769230769234,0.5882352941176471,0.38461538461538464,0.46511627906976744,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,10.0,l2,0.52,118,0.4152542372881356,0.42980769230769234,0.5882352941176471,0.38461538461538464,0.46511627906976744,0.46995362547926267,0.07319768342589317,0.4322033898305085
balanced,1.0,l2,0.5,118,0.4067796610169492,0.4233974358974359,0.58,0.3717948717948718,0.453125,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l2,0.5,118,0.4067796610169492,0.4233974358974359,0.58,0.3717948717948718,0.453125,0.46995362547926267,0.09600568658244946,0.3220338983050847
none,10.0,l1,0.55,118,0.3559322033898305,0.421474358974359,0.53125,0.21794871794871795,0.3090909090909091,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,0.01,l2,0.5,118,0.4491525423728814,0.41891025641025637,0.5970149253731343,0.5128205128205128,0.5517241379310345,0.46995362547926267,0.17132026238421671,0.3898305084745763
balanced,0.1,l1,0.5,118,0.4406779661016949,0.41858974358974355,0.59375,0.48717948717948717,0.5352112676056338,0.46995362547926267,0.0214350926062723,0.06779661016949153
balanced,1.0,l1,0.5,118,0.3983050847457627,0.41698717948717945,0.5714285714285714,0.358974358974359,0.4409448818897638,0.46995362547926267,0.10435524170221644,0.3220338983050847
balanced,10.0,l1,0.5,118,0.3983050847457627,0.41698717948717945,0.5714285714285714,0.358974358974359,0.4409448818897638,0.46995362547926267,0.09600568658244946,0.3220338983050847
none,1.0,l1,0.55,118,0.3474576271186441,0.41506410256410253,0.5161290322580645,0.20512820512820512,0.29357798165137616,0.46995362547926267,0.07654703350375835,0.4406779661016949
none,1.0,l2,0.55,118,0.3474576271186441,0.41506410256410253,0.5161290322580645,0.20512820512820512,0.29357798165137616,0.46995362547926267,0.07319768342589317,0.4322033898305085
none,10.0,l2,0.55,118,0.3474576271186441,0.41506410256410253,0.5161290322580645,0.20512820512820512,0.29357798165137616,0.46995362547926267,0.07319768342589317,0.4322033898305085
