Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
0,377584565,8621310000000.0,-0.164310811,-559589000000.0,-287247000000.0,-66185778621.0,-106284000000.0
1,410979633,9108500000000.0,0.088443944,32862902173.0,587856000000.0,-7705658173.0,22998520112.0
1,461755372,8835650000000.0,0.123548066,423258000000.0,68773296055.0,-3223582816.0,-17010996427.0
1,483838948,9319630000000.0,0.047825271,235095000000.0,587406000000.0,-12584084060.0,-23048344276.0
1,537548258,8583470000000.0,0.111006586,195000000000.0,808807000000.0,10697774810.0,19905149579.0
0,475363053,8280390000000.0,-0.115683018,51606672474.0,410032000000.0,-8054560474.0,-12398073000.0
1,607046190,12096900000000.0,0.277015927,452755000000.0,1454110000000.0,4801035066.0,-3830735006.0
0,545831859,10908700000000.0,-0.100839659,-127819000000.0,-1494160000000.0,28764782934.0,-88127063587.0
0,461038202,8727460000000.0,-0.155347577,-218409000000.0,-928808000000.0,111152000000.0,-46853305425.0
1,621549385,9991470000000.0,0.42614161,88320676077.0,-763985000000.0,44849452345.0,-15769338988.0
0,787346121,15428400000000.0,0.266747486,620307000000.0,-1054510000000.0,12124810322.0,-79401996162.0
0,786045066,13297100000000.0,-0.001652456,179393000000.0,-362187000000.0,95488036360.0,-141575000000.0
1,546172478,10582400000000.0,-0.305163913,654785000000.0,-383447000000.0,43976967672.0,-60387661544.0
0,477399917,10397800000000.0,-0.125917295,-87916196179.0,-287281000000.0,-16846330971.0,-134251000000.0
1,566171897,10646500000000.0,0.18594888,482015000000.0,-113688000000.0,32990502741.0,-94054348734.0
1,519500914,10895400000000.0,-0.082432532,457932000000.0,595325000000.0,16117795421.0,32324289076.0
0,604870641,11459000000000.0,0.164330273,373496000000.0,-178735000000.0,9206682486.0,-174713000000.0
0,532668250,10799700000000.0,-0.119368318,-245691000000.0,-496536000000.0,-34253202934.0,-14422584741.0
0,593260741,10396500000000.0,0.113752774,-252669000000.0,29283981316.0,-79451024468.0,-75722148548.0
0,554040958,10041000000000.0,-0.066108846,13357344547.0,-33213666899.0,-58749434050.0,-38083270563.0
0,463829499,9649070000000.0,-0.162824531,34395105443.0,153995000000.0,-27438992917.0,-119237000000.0
1,395669124,8872020000000.0,-0.146951359,-278365000000.0,290695000000.0,-19913942285.0,-102048000000.0
0,532753367,10718100000000.0,0.346461815,-222524000000.0,-195530000000.0,-47071495291.0,-198122000000.0
0,473993186,9304490000000.0,-0.110295279,-435677000000.0,781067000000.0,-14408558587.0,-55525174994.0
0,639958796,11700900000000.0,0.350143451,-441054000000.0,-24174190770.0,-7241273158.0,-145759000000.0
0,472650641,8978730000000.0,-0.261435824,-242517000000.0,257822000000.0,-23358422092.0,-160363000000.0
0,487726708,20548800000000.0,0.031896851,-1714190000000.0,103258000000.0,200338000000.0,1223070000000.0
1,434186972,13753100000000.0,-0.10977405,-706680000000.0,54909638756.0,92740256495.0,70663000432.0
1,435709933,12472500000000.0,0.003507616,83879394550.0,-109171000000.0,40325620859.0,133617000000.0
1,536148768,11393300000000.0,0.230517662,194500000000.0,-139630000000.0,64397907539.0,181831000000.0
0,417838468,11291900000000.0,-0.220666925,-6922551900.0,-751670000000.0,23468378092.0,-77974659508.0
1,560534109,11785900000000.0,0.341509104,-93899152343.0,64756906579.0,-15612444050.0,24136411675.0
1,539123929,10337600000000.0,-0.038196034,235535000000.0,195991000000.0,-14948760224.0,14708496962.0
1,509611246,12776200000000.0,-0.054741927,836538000000.0,-432229000000.0,-82978741218.0,-6785666970.0
0,480520356,10992600000000.0,-0.057084474,608078000000.0,-382430000000.0,-8117221504.0,-256541000000.0
0,616343422,11579400000000.0,0.282658298,68413753630.0,40712970536.0,-34969741950.0,174301000000.0
0,589039193,9435830000000.0,-0.044300349,-220898000000.0,150714000000.0,-1497511295.0,-16698015189.0
1,422366402,8389880000000.0,-0.282957048,-43736822981.0,241758000000.0,33292796126.0,-73387945.0
1,611421577,11812900000000.0,0.447609408,651483000000.0,106246000000.0,196351000000.0,57924021026.0
1,513521173,8508340000000.0,-0.160119315,-150679000000.0,50821320773.0,4237746398.0,46983639959.0
0,495301161,7896730000000.0,-0.035480547,-64893738307.0,-120560000000.0,4446137403.0,-3088714968.0
0,648400532,10590500000000.0,0.309103598,-330430000000.0,-247967000000.0,-9056908471.0,-79212746303.0
1,537841009,9138530000000.0,-0.170511154,-266792000000.0,180822000000.0,-16944487610.0,27437427144.0
0,926399613,13586100000000.0,0.722441386,-674202000000.0,-308816000000.0,-10002877715.0,-105831000000.0
1,664347310,12221000000000.0,-0.282871775,-124180000000.0,270657000000.0,-12954380257.0,-71273021361.0
1,613470298,12894200000000.0,-0.076581949,96475605521.0,-276733000000.0,-14472234195.0,-24186352150.0
1,527950387,10996700000000.0,-0.139403507,-307376000000.0,-128905000000.0,-11113489918.0,441986105.0
1,614514855,10592900000000.0,0.163963263,132683000000.0,135704000000.0,3437176906.0,48247280612.0
0,765675798,12427400000000.0,0.245984197,-589043000000.0,-321651000000.0,-52215422773.0,-86326785181.0
0,571562292,12089300000000.0,-0.253519187,-1190750000000.0,-630788000000.0,-70355650626.0,-143031000000.0
0,540370226,11679500000000.0,-0.054573345,-477359000000.0,-148484000000.0,-36589533158.0,-38860446130.0
1,613810463,13694700000000.0,0.13590726,-427767000000.0,738399000000.0,36204311610.0,-57218430427.0
0,797034211,12363200000000.0,0.298502158,-689443000000.0,-289525000000.0,10413002985.0,-95110810460.0
0,636324491,12037800000000.0,-0.201634657,-639141000000.0,-16641412285.0,-35560509712.0,81648855559.0
0,604181621,9583000000000.0,-0.050513332,-679033000000.0,-23833846539.0,-9864829314.0,106019000000.0
1,736353564,9310850000000.0,0.218761939,-131872000000.0,273765000000.0,-1964919376.0,55278748888.0
1,546079006,11900900000000.0,-0.258401082,463513000000.0,196817000000.0,30266992262.0,-30377624559.0
1,644017432,11442600000000.0,0.179348455,-103085000000.0,-14116755494.0,-22578706555.0,52889687520.0
0,502401733,8693850000000.0,-0.219894202,-491535000000.0,-182929000000.0,-20744308131.0,-59103540625.0
1,489441786,9367510000000.0,-0.025795984,219517000000.0,286693000000.0,16898216819.0,46538185790.0
1,883375917,11838700000000.0,0.804864117,57070890859.0,232958000000.0,-31053440149.0,55324695611.0
0,960897734,13177900000000.0,0.087756317,1021860000000.0,-180998000000.0,11682574885.0,-25887459164.0
1,602771056,10825000000000.0,-0.372700096,-554859000000.0,-114144000000.0,-27391188381.0,4344033625.0
0,768042550,9801740000000.0,0.274186181,-264305000000.0,138182000000.0,-22403068883.0,3622736751.0
