Target,TaiwanWeighted,USD_KRW,Dollar_Index,VIX
0,15408.78027,1326.910034,108.1699982,20.60000038
0,15245.13965,1334.859985,109.0500031,23.79999924
0,15095.88965,1343.359985,108.6200027,24.11000061
1,15069.19043,1339.079956,108.6800003,22.81999969
1,15200.04004,1340.0,108.4700012,21.78000069
1,15278.44043,1334.439941,108.8000031,25.55999947
0,14926.19043,1341.180054,108.8399963,26.20999908
1,14953.62988,1345.72998,108.7699966,26.20999908
1,15095.44043,1350.189941,108.6999969,25.87000084
0,14801.86035,1342.26001,109.6900024,25.55999947
0,14673.04004,1355.099976,109.5299988,25.46999931
0,14661.09961,1361.51001,109.5299988,25.46999931
1,14677.2002,1361.810059,110.2099991,26.90999985
0,14410.0498,1378.109985,109.8399963,24.63999939
1,14583.41992,1374.310059,109.7099991,23.61000061
1,14894.41016,1375.810059,109.8199997,27.27000046
0,14658.30957,1393.469971,109.6600037,26.15999985
0,14670.04004,1391.180054,109.7399979,26.27000046
0,14561.75977,1398.630005,109.7600021,26.29999924
0,14425.67969,1385.22998,109.7399979,25.76000023
1,14549.2998,1390.109985,110.2200012,27.15999985
0,14424.51953,1392.51001,110.6399994,27.98999977
0,14284.62988,1397.560059,111.3499985,27.35000038
0,14118.37988,1403.660034,113.1900024,29.92000008
0,13778.19043,1421.810059,114.0999985,32.25999832
1,13826.58984,1429.77002,114.1100006,32.59999847
0,13466.07031,1426.26001,112.5999985,30.18000031
1,13534.25977,1421.949951,112.25,31.84000015
0,13424.58008,1430.170044,112.1200027,31.62000084
1,13576.51953,1433.339966,110.0699997,29.06999969
1,13801.42969,1416.530029,111.0699997,28.54999924
1,13892.0498,1416.76001,112.2600021,30.52000046
0,13702.28027,1408.449951,112.8000031,31.36000061
0,13106.03027,1428.349976,113.2200012,33.63000107
1,13081.24023,1430.800049,113.3199997,33.56999969
0,12810.73047,1423.900024,112.3600006,31.94000053
1,13128.12012,1430.300049,113.3099976,32.02000046
1,12966.0498,1440.76001,112.0400009,31.37000084
1,13124.67969,1430.150024,112.1299973,30.5
0,12976.75977,1425.02002,112.9800034,30.76000023
0,12946.09961,1435.01001,112.8799973,29.97999954
0,12819.2002,1430.310059,112.0100021,29.69000053
1,12856.98047,1428.109985,111.9899979,29.85000038
0,12666.12012,1443.959961,110.9499969,28.45999908
1,12729.0498,1426.930054,109.6999969,27.28000069
1,12926.37012,1412.689941,110.5899963,27.38999939
0,12788.41992,1420.650024,110.6699982,25.75
1,12949.75,1421.650024,111.5299988,25.87999916
1,13037.20996,1424.670044,111.4800034,25.80999947
1,13100.16992,1416.599976,111.3499985,25.86000061
0,12986.59961,1423.099976,112.9300003,25.29999924
1,13026.70996,1423.650024,110.8799973,24.54999924
1,13223.73047,1402.109985,110.1200027,24.35000038
1,13347.75977,1392.699951,109.6200027,25.54000092
1,13638.80957,1374.150024,110.5500031,26.09000015
0,13503.75977,1370.550049,108.2099991,23.53000069
1,14007.55957,1349.369995,106.2900009,22.52000046
0,14174.90039,1313.030029,106.6600037,23.72999954
1,14546.30957,1324.079956,106.4000015,24.54000092
0,14537.34961,1316.26001,106.2799988,24.11000061
0,14535.23047,1336.430054,106.6900024,23.93000031
1,14504.99023,1342.75,106.9300003,23.12000084
0,14449.38965,1339.030029,107.8399963,22.36000061
0,14542.2002,1359.75,107.2200012,21.29000092
1,14608.54004,1352.689941,106.0800018,20.35000038
1,14784.0,1336.810059,106.0800018,20.35000038
0,14778.50977,1317.890015,105.9599991,20.5
0,14556.87012,1334.560059,106.6800003,22.20999908
1,14709.63965,1340.119995,106.8199997,21.88999939
1,14879.5498,1325.369995,105.9499969,20.57999992
1,15012.7998,1279.800049,104.7300034,19.84000015
0,14970.67969,1303.25,104.5500031,19.05999947
0,14980.74023,1299.170044,105.2900009,20.75
0,14728.87988,1304.369995,105.5800018,22.17000008
0,14630.00977,1319.709961,105.0999985,22.68000031
0,14553.04004,1314.099976,104.7699966,22.29000092
1,14705.42969,1316.630005,104.8099976,22.82999992
0,14612.58984,1303.170044,105.1299973,25.0
0,14522.95996,1305.920044,103.9800034,22.54999924
1,14739.36035,1288.97998,103.7699966,21.13999939
0,14734.12988,1295.680054,104.5599976,22.82999992
0,14528.5498,1317.099976,104.6999969,22.62000084
0,14433.32031,1308.859985,104.7200012,22.42000008
0,14170.03027,1301.329956,103.9700012,21.47999954
0,14234.40039,1283.640015,104.1600037,20.06999969
1,14442.94043,1280.77002,104.4300003,21.96999931
0,14271.62988,1290.199951,104.3099976,20.87000084
1,14285.12988,1279.23999,104.3099976,20.87000084
1,14328.42969,1275.130005,104.1800003,21.64999962
0,14173.09961,1272.280029,104.4599991,22.13999939
0,14085.01953,1274.319946,103.8399963,21.44000053
0,14137.69043,1260.910034,103.5199966,21.67000008
0,14224.12012,1270.099976,104.5199966,22.89999962
1,14199.12988,1279.079956,104.25,22.01000023
1,14301.0498,1271.079956,105.0400009,22.45999908
1,14373.33984,1274.180054,103.8799973,21.12999916
1,14752.20996,1252.880005,103.0,21.96999931
1,14802.95996,1239.280029,103.2399979,20.57999992
