Target,US_GDP,US_M2,US_UNRATE,KR_Interest_Rate_3Y,KR_Spread_10Y_3Y
1,27216.445,20946.8,3.5,3.415,-0.009000063
0,27216.445,20946.8,3.5,3.264,0.03999996
1,27216.445,20946.8,3.5,3.294,0.00999999
1,27216.445,20946.8,3.5,3.284,0.003000021
1,27216.445,20946.8,3.5,3.206,0.059999943
0,27216.445,20946.8,3.5,3.16,0.049999952
0,27216.445,20946.8,3.5,3.22,0.03799987
1,27216.445,20946.8,3.5,3.258,0.023000002
1,27216.445,20946.8,3.5,3.249,0.030999899
1,27216.445,20946.8,3.5,3.24,0.06500006
1,27216.445,20946.8,3.5,3.27,0.06999993
0,27530.055,20761.4,3.4,3.342,0.04699993
1,27530.055,20761.4,3.4,3.279,0.03699994
1,27530.055,20761.4,3.4,3.264,0.062000036
0,27530.055,20761.4,3.4,3.211,0.06700015
1,27530.055,20761.4,3.4,3.24,0.049000025
1,27530.055,20761.4,3.4,3.192,0.04400015
1,27530.055,20761.4,3.4,3.231,0.024000168
1,27530.055,20761.4,3.4,3.233,0.029000044
1,27530.055,20761.4,3.4,3.199,0.07400012
1,27530.055,20761.4,3.4,3.215,0.0710001
1,27530.055,20761.4,3.4,3.287,0.062000036
0,27530.055,20761.4,3.4,3.294,0.058000088
1,27530.055,20761.4,3.4,3.337,0.032999992
0,27530.055,20761.4,3.4,3.334,0.07499981
0,27530.055,20761.4,3.4,3.267,0.075999975
0,27530.055,20761.4,3.4,3.23,0.075999975
0,27530.055,20761.4,3.4,3.265,0.05799985
0,27530.055,20761.4,3.4,3.259,0.049999952
1,27530.055,20761.4,3.4,3.288,0.0539999
1,27530.055,20761.4,3.4,3.293,0.06699991
1,27530.055,20829.6,3.6,3.335,0.03699994
0,27530.055,20829.6,3.6,3.281,0.042999983
0,27530.055,20829.6,3.6,3.21,0.06800008
1,27530.055,20829.6,3.6,3.261,0.049000025
0,27530.055,20829.6,3.6,3.256,0.062000036
0,27530.055,20829.6,3.6,3.273,0.06800008
0,27530.055,20829.6,3.6,3.22,0.07200003
0,27530.055,20829.6,3.6,3.225,0.049000025
1,27530.055,20829.6,3.6,3.279,0.052999973
1,27530.055,20829.6,3.6,3.242,0.06099987
1,27530.055,20829.6,3.6,3.274,0.045000076
1,27530.055,20829.6,3.6,3.316,0.05100012
1,27530.055,20829.6,3.6,3.34,0.078999996
1,27530.055,20829.6,3.6,3.321,0.0769999
1,27530.055,20829.6,3.6,3.373,0.10000014
0,27530.055,20829.6,3.6,3.378,0.12400007
0,27530.055,20829.6,3.6,3.48,0.116999865
1,27530.055,20829.6,3.6,3.524,0.11500001
1,27530.055,20829.6,3.6,3.56,0.09100008
0,27530.055,20829.6,3.6,3.459,0.072999954
0,27530.055,20799.3,3.6,3.478,0.0710001
1,27530.055,20799.3,3.6,3.436,0.058999777
1,27530.055,20799.3,3.6,3.502,0.059000015
1,27530.055,20799.3,3.6,3.471,0.05100012
